step,lr,Metrics/loss
10,0.0003,45.9802622795105
20,0.0003,45.7441611289978
30,0.0003,45.095945835113525
40,0.0003,43.78420543670654
50,0.0003,41.84604024887085
60,0.0003,40.36204171180725
70,0.0003,38.741217613220215
80,0.0003,37.19732427597046
90,0.0003,35.909685134887695
100,0.0003,34.52071523666382
110,0.0003,33.34057855606079
120,0.0003,32.04923605918884
130,0.0003,30.915716648101807
140,0.0003,29.191650867462158
150,0.0003,27.755927562713623
160,0.0003,26.122514486312866
170,0.0003,24.325887203216553
180,0.0003,21.71437096595764
190,0.0003,18.416435718536377
200,0.0003,15.278428554534912
210,0.0003,12.315751671791077
220,0.0003,9.863526999950409
230,0.0003,7.40146279335022
240,0.0003,4.889740437269211
250,0.0003,3.1524471044540405
260,0.0003,1.9535365551710129
270,0.0003,1.1126041039824486
280,0.0003,0.5922405533492565
290,0.0003,0.36954600363969803
300,0.0003,0.2593100629746914
310,0.0003,0.19643920473754406
320,0.0003,0.15641421265900135
330,0.0003,0.12856038939207792
340,0.0003,0.10961915273219347
350,0.0003,0.0918868025764823
360,0.0003,0.08002362493425608
370,0.0003,0.06983288004994392
380,0.0003,0.061552103608846664
390,0.0003,0.054112129379063845
400,0.0003,0.048831273801624775
410,0.0003,0.043506164103746414
420,0.0003,0.03970107389613986
430,0.0003,0.03588565276004374
440,0.0003,0.032720340648666024
450,0.0003,0.02962711942382157
460,0.0003,0.027212874963879585
470,0.0003,0.025161248398944736
480,0.0003,0.022956167813390493
490,0.0003,0.02119496394880116
500,0.0003,0.019531437195837498
510,0.0003,0.018011248554103076
520,0.0003,0.016654521110467613
530,0.0003,0.015622006147168577
540,0.0003,0.014341110363602638
550,0.0003,0.013349462184123695
560,0.0003,0.012364787282422185
570,0.0003,0.011577858123928308
580,0.0003,0.010778983822092414
590,0.0003,0.010019592475146055
600,0.0003,0.009385875600855798
610,0.0003,0.008658608654513955
620,0.0003,0.008125448075588793
630,0.0003,0.00761554401833564
640,0.0003,0.007100311748217791
650,0.0003,0.006658146332483739
660,0.0003,0.006258445675484836
670,0.0003,0.005861720303073525
680,0.0003,0.005507460213266313
690,0.0003,0.005122067086631432
700,0.0003,0.004837733780732378
710,0.0003,0.004533903149422258
720,0.0003,0.004210042970953509
730,0.0003,0.0040287760784849524
740,0.0003,0.003770501702092588
750,0.0003,0.0035223937884438783
760,0.0003,0.0033251641725655645
770,0.0003,0.0031101999047677964
780,0.0003,0.0029306560463737696
790,0.0003,0.0027513282548170537
800,0.0003,0.0025885178765747696
810,0.0003,0.002455580994137563
820,0.0003,0.00230705359717831
830,0.0003,0.0021588819654425606
840,0.0003,0.002017808408709243
850,0.0003,0.001910476858029142
860,0.0003,0.0017984310834435746
870,0.0003,0.0016907552490010858
880,0.0003,0.0015942412574077025
890,0.0003,0.0014967013848945498
900,0.0003,0.0014078648528084159
910,0.0003,0.0013361835444811732
920,0.0003,0.0012547412770800292
930,0.0003,0.0011797071420005523
940,0.0003,0.0011202603855053894
950,0.0003,0.001051970109983813
960,0.0003,0.0009966114957933314
970,0.0003,0.000933251969399862
980,0.0003,0.0008861428432282992
990,0.0003,0.0008356271937373094
1000,0.0003,0.0007899685588199645
1010,0.0003,0.0007425996082019992
1020,0.0003,0.000698779447702691
1030,0.0003,0.0006554700739798136
1040,0.0003,0.0006241755618248135
1050,0.0003,0.0005856348761881236
1060,0.0003,0.0005505623776116408
1070,0.0003,0.0005224550768616609
1080,0.0003,0.0004931558869429864
1090,0.0003,0.0004652352654375136
1100,0.0003,0.0004376492652227171
1110,0.0003,0.0004134115151828155
1120,0.0003,0.00039025522710289806
1130,0.0003,0.000369005083484808
1140,0.0003,0.00034788741686497815
1150,0.0003,0.00032774915962363593
1160,0.0003,0.00030929907552490477
1170,0.0003,0.0002924440705101006
1180,0.0003,0.00027527459133125376
1190,0.0003,0.0002609027942526154
1200,0.0003,0.00024725731782382354
1210,0.0003,0.00023193721608549822
1220,0.0003,0.00021825069779879414
1230,0.0003,0.0002061089671769878
