step,lr,Metrics/loss
49,0.001,9.208895683288574
99,0.001,7.655905723571777
149,0.001,6.6140618324279785
199,0.001,6.022330284118652
249,0.001,5.660991191864014
299,0.001,5.407915592193604
349,0.001,5.2256035804748535
399,0.001,5.039621829986572
449,0.001,4.920963764190674
499,0.001,4.78942346572876
549,0.001,4.705001354217529
599,0.001,4.557368755340576
649,0.001,4.492994785308838
699,0.001,4.487009525299072
749,0.001,4.412294864654541
799,0.001,4.264284610748291
849,0.001,4.178940773010254
899,0.001,3.985196113586426
949,0.001,3.883631944656372
999,0.001,3.8484835624694815
1049,0.001,3.781583070755005
1099,0.001,3.713003396987915
1149,0.001,3.7295658588409424
1199,0.001,3.719944477081299
1249,0.001,3.609934568405152
1299,0.001,3.5702710151672363
1349,0.001,3.605161428451538
1399,0.001,3.599815845489502
1449,0.001,3.534118413925171
1499,0.001,3.4888362884521484
1549,0.001,3.5451605319976807
1599,0.001,3.418781280517578
1649,0.001,3.487464666366577
1699,0.001,3.4270923137664795
1749,0.001,3.4135870933532715
1799,0.001,3.443089723587036
1849,0.001,3.331807374954224
1899,0.001,3.4309215545654297
1949,0.001,3.413271427154541
1999,0.001,3.258282423019409
2049,0.001,3.286366701126098
2099,0.001,3.276475191116333
2149,0.001,3.313521146774292
2199,0.001,3.282825469970703
2249,0.001,3.25128436088562
2299,0.001,3.246042490005493
2349,0.001,3.264322280883789
2399,0.001,3.278254985809326
2449,0.001,3.267932415008545
2499,0.001,3.223281145095825
2549,0.001,3.178934335708618
2599,0.001,3.2163326740264893
2649,0.001,3.1023378372192383
2699,0.001,3.187761783599853
2749,0.001,3.1651413440704346
2799,0.001,3.1071040630340576
2849,0.001,3.181403398513794
2899,0.001,3.1504125595092773
2949,0.001,3.1885979175567627
2999,0.001,3.218782663345337
3049,0.001,3.0936851501464844
3099,0.001,3.100963830947876
3149,0.001,3.134002685546875
3199,0.001,3.072486162185669
3249,0.001,3.1052591800689697
3299,0.001,3.1349964141845703
3349,0.001,3.116779088973999
3399,0.001,2.9919302463531494
3449,0.001,3.1456751823425293
3499,0.001,3.112870216369629
3549,0.001,3.087648391723633
3599,0.001,3.0665652751922607
3649,0.001,3.0891621112823486
3699,0.001,3.0420100688934326
3749,0.001,3.041775941848755
3799,0.001,3.1203596591949463
3849,0.001,3.056250810623169
3899,0.001,3.123413324356079
3949,0.001,3.0997486114501958
3999,0.001,3.0890872478485107
4049,0.001,3.0255022048950195
4099,0.001,3.0108771324157715
4149,0.001,3.1119205951690674
4199,0.001,3.057816743850708
4249,0.001,2.929640531539917
4299,0.001,3.049461603164673
4349,0.001,3.0454795360565186
4399,0.001,3.045906543731689
4449,0.001,2.995861053466797
4499,0.001,3.004030704498291
4549,0.001,3.0403316020965576
4599,0.001,3.0306825637817383
4649,0.001,3.0766069889068604
4699,0.001,3.0140223503112797
4749,0.001,2.9319911003112797
4799,0.001,3.1161842346191406
4849,0.001,3.0048916339874268
4899,0.001,3.013188123703003
4949,0.001,3.014885902404785
4999,0.001,2.9135007858276367
5049,0.001,3.0674262046813965
5099,0.001,2.988820552825928
5149,0.001,3.00665283203125
5199,0.001,2.995244026184082
5249,0.001,3.0247111320495605
5299,0.001,3.014225482940674
5349,0.001,3.005679130554199
5399,0.001,2.907794952392578
5449,0.001,2.9829838275909424
5499,0.001,2.9676499366760254
5549,0.001,2.9489681720733643
5599,0.001,2.9720113277435303
5649,0.001,3.005606412887573
5699,0.001,3.000741720199585
5749,0.001,2.981379270553589
5799,0.001,2.9724676609039307
5849,0.001,2.9043970108032227
5899,0.001,2.8894572257995605
5949,0.001,2.992199182510376
5999,0.001,2.9175944328308105
6049,0.001,2.967341899871826
6099,0.001,2.9530158042907715
6149,0.001,3.0037682056427
6199,0.001,2.992483139038086
6249,0.001,2.913438081741333
6299,0.001,2.947131395339966
6349,0.001,2.9514169692993164
6399,0.001,2.969865083694458
6449,0.001,2.940757751464844
6499,0.001,2.9735023975372314
6549,0.001,2.916688203811645
6599,0.001,2.9652528762817383
6649,0.001,2.951428174972534
6699,0.001,2.9498543739318848
6749,0.001,2.945178747177124
6799,0.001,2.9154696464538574
6849,0.001,2.8523190021514893
6899,0.001,2.9836437702178955
6949,0.001,2.8784992694854736
6999,0.001,2.8686065673828125
7049,0.001,2.9349544048309326
7099,0.001,2.962664842605591
7149,0.001,2.985815048217773
7199,0.001,2.8839869499206543
7249,0.001,2.8989579677581787
7299,0.001,2.93128514289856
7349,0.001,2.9331724643707275
7399,0.001,2.973203659057617
7449,0.001,2.887986421585083
7499,0.001,2.89576268196106
7549,0.001,2.822883367538452
7599,0.001,2.9844210147857666
7649,0.001,2.922226905822754
7699,0.001,2.9121575355529785
7749,0.001,2.8887009620666504
7799,0.001,2.9104349613189697
7849,0.001,2.9427483081817627
7899,0.001,2.918251037597656
7949,0.001,2.8496737480163574
7999,0.001,2.9223008155822754
8049,0.001,2.927215814590454
8099,0.001,2.8975517749786377
8149,0.001,2.9366674423217773
8199,0.001,2.8566598892211914
8249,0.001,2.8346967697143555
8299,0.001,2.9379827976226807
8349,0.001,2.9720380306243896
8399,0.001,2.874696731567383
8449,0.001,2.906956195831299
8499,0.001,2.950252056121826
8549,0.001,2.953100681304932
8599,0.001,2.905817747116089
8649,0.001,2.8563320636749268
8699,0.001,2.9365227222442627
8749,0.001,2.9367153644561768
8799,0.001,2.9275481700897217
8849,0.001,2.887673854827881
8899,0.001,2.8314270973205566
8949,0.001,2.948140382766724
8999,0.001,2.878068208694458
9049,0.001,2.819321632385254
9099,0.001,2.8356475830078125
9149,0.001,2.9218766689300537
9199,0.001,2.844245433807373
9249,0.001,2.89151382446289
9299,0.001,2.862255334854126
9349,0.001,2.8796825408935547
9399,0.001,2.933108329772949
9449,0.001,2.8567280769348145
9499,0.001,2.8848717212677
9549,0.001,2.8807621002197266
9599,0.001,2.887880802154541
9649,0.001,2.9554452896118164
9699,0.001,2.8914787769317627
9749,0.001,2.884168863296509
9799,0.001,2.819504976272583
9849,0.001,2.889379978179932
9899,0.001,2.90820837020874
9949,0.001,2.855521440505981
