step,lr,Metrics/loss
10,0.02,46.504547119140625
20,0.02,46.33009624481201
30,0.02,46.39133834838867
40,0.02,46.19367694854736
50,0.02,46.15837097167969
60,0.02,45.961352825164795
70,0.02,45.756986141204834
80,0.02,45.567256927490234
90,0.02,45.44585084915161
100,0.02,45.120758056640625
110,0.02,44.9234824180603
120,0.02,44.3074049949646
130,0.02,43.92714548110962
140,0.02,44.04641103744507
150,0.02,43.403489112854004
160,0.02,43.343233585357666
170,0.02,42.872036933898926
180,0.02,42.08120822906494
190,0.02,41.40552520751953
200,0.02,41.03875494003296
210,0.02,40.380903244018555
220,0.02,40.456932067871094
230,0.02,39.766005516052246
240,0.02,39.23166108131409
250,0.02,38.8239266872406
260,0.02,38.601932764053345
270,0.02,38.11031126976013
280,0.02,37.450836181640625
290,0.02,36.82676649093628
300,0.02,36.1949303150177
310,0.02,35.71612858772278
320,0.02,34.71993947029114
330,0.02,33.69534683227539
340,0.02,32.24815344810486
350,0.02,30.04379653930664
360,0.02,27.049652576446533
370,0.02,22.347144842147827
380,0.02,15.299992680549622
390,0.02,8.30862307548523
400,0.02,4.200091242790222
410,0.02,2.2066728472709656
420,0.02,1.3856257051229477
430,0.02,0.9530945494771004
440,0.02,0.7210775762796402
450,0.02,0.5637356676161289
460,0.02,0.4591689556837082
470,0.02,0.3875032812356949
480,0.02,0.3343323953449726
490,0.02,0.2916053254157305
500,0.02,0.256318312138319
510,0.02,0.2293789740651846
520,0.02,0.20767991617321968
530,0.02,0.18805751018226147
540,0.02,0.1725716907531023
550,0.02,0.15805298928171396
560,0.02,0.1479516439139843
570,0.02,0.1378619372844696
580,0.02,0.1279760655015707
590,0.02,0.1198229268193245
600,0.02,0.11192843969911337
610,0.0204,0.10592181328684092
620,0.020808,0.10006852634251118
630,0.021224160000000002,0.09473580680787563
640,0.0216486432,0.08957456611096859
650,0.022081616064,0.0854518162086606
660,0.02252324838528,0.08068637643009424
670,0.022973713352985602,0.07705766428261995
680,0.023433187620045315,0.0732120368629694
690,0.02390185137244622,0.06997177004814148
700,0.024379888399895147,0.06608847435563803
710,0.02486748616789305,0.06331614265218377
720,0.02536483589125091,0.06084567680954933
730,0.02587213260907593,0.05816044192761183
740,0.026389575261257448,0.055632330011576414
750,0.026917366766482598,0.05318649159744382
760,0.02745571410181225,0.050644824746996164
770,0.028004828383848497,0.04846083465963602
780,0.028564924951525468,0.046825990080833435
790,0.029136223450555977,0.044754115864634514
800,0.0297189479195671,0.04312568483874202
810,0.030313326877958437,0.04116111854091287
820,0.03091959341551761,0.03973267995752394
830,0.031537985283827966,0.038048366317525506
840,0.032168744989504526,0.03644266980700195
850,0.03281211988929461,0.035254470305517316
860,0.03346836228708051,0.03402446210384369
870,0.03413772953282212,0.03256215248256922
880,0.03482048412347856,0.031438791658729315
890,0.03551689380594813,0.030068512074649334
900,0.036227231682067096,0.02880411478690803
910,0.03695177631570844,0.02822027518413961
920,0.0376908118420226,0.026774004101753235
930,0.038444628078863056,0.025930821895599365
940,0.03921352064044032,0.02507218183018267
950,0.03999779105324913,0.02405196288600564
960,0.04079774687431411,0.023030171869322658
970,0.0416137018118004,0.02231573057360947
980,0.0424459758480364,0.021372901974245906
990,0.04329489536499713,0.02068570675328374
1000,0.04416079327229707,0.020029625855386257
1010,0.04504400913774302,0.019148463383316994
1020,0.04594488932049788,0.01846671139355749
1030,0.04686378710690784,0.01787023013457656
1040,0.047801062849046,0.017082113539800048
1050,0.048757084106026916,0.016532407724298537
1060,0.049732225788147455,0.01582135062199086
1070,0.050726870303910404,0.015256876475177705
1080,0.05174140770998862,0.014662841451354325
1090,0.05277623586418839,0.013999887276440859
1100,0.053831760581472154,0.01352038886398077
1110,0.054908395793101604,0.01296010590158403
1120,0.05600656370896363,0.0124808584805578
1130,0.057126694983142906,0.011892918613739312
1140,0.05826922888280577,0.01128996186889708
1150,0.05943461346046188,0.010877971770241857
1160,0.060623305729671124,0.010480156750418246
1170,0.061835771844264545,0.00985959655372426
1180,0.06307248728114984,0.009388414793647826
1190,0.06433393702677283,0.009020405821502209
1200,0.0656206157673083,0.008608782605733722
1210,0.06693302808265446,0.007971762039232999
1220,0.06827168864430755,0.007461188011802733
1230,0.0696371224171937,0.007068587234243751
1240,0.07102986486553758,0.006633880257140845
1250,0.07245046216284833,0.006242700736038387
1260,0.0738994714061053,0.005833835748489946
1270,0.0753774608342274,0.005407575867138803
1280,0.07688501005091196,0.005110319470986724
1290,0.07842271025193019,0.004805508360732347
1300,0.0799911644569688,0.0045752598671242595
1310,0.08159098774610818,0.004230695980368182
1320,0.08322280750103035,0.004021878936327994
1330,0.08488726365105094,0.003747937618754804
1340,0.08658500892407198,0.0034580573556013405
1350,0.0883167091025534,0.003164370107697323
1360,0.09008304328460447,0.0029068308940622956
1370,0.09188470415029658,0.002725467667914927
1380,0.09372239823330251,0.0025641743559390306
1390,0.09559684619796857,0.002407073392532766
1400,0.09750878312192793,0.002233674720628187
1410,0.0994589587843665,0.0021280302753439173
1420,0.10144813796005382,0.0020604067103704438
1430,0.10347710071925491,0.001918824971653521
1440,0.10554664273364,0.0017918626399477944
1450,0.1076575755883128,0.0017297732993029058
1460,0.10981072710007907,0.001654158317251131
1470,0.11200694164208065,0.001565103288157843
1480,0.11424708047492227,0.001514744944870472
1490,0.1165320220844207,0.0014250232052290812
1500,0.11886266252610912,0.0013613218907266855
1510,0.1212399157766313,0.0013082407676847652
1520,0.12366471409216394,0.001273156507522799
1530,0.1261380083740072,0.0012034988176310435
1540,0.12866076854148736,0.0011500830951263197
1550,0.1312339839123171,0.0010768490392365493
1560,0.13385866359056345,0.0010888014439842664
1570,0.13653583686237475,0.0010291448925272562
1580,0.13926655359962223,0.0009825584347709082
1590,0.14205188467161467,0.000930710339162033
1600,0.14489292236504697,0.0009232761804014444
1610,0.14779078081234792,0.0008911026525311172
1620,0.15074659642859486,0.0008339624109794386
1630,0.15376152835716678,0.000825067560072057
1640,0.1568367589243101,0.0007847805027267896
1650,0.15997349410279632,0.0007709723067819141
1660,0.16317296398485223,0.0007376192443189211
1670,0.1664364232645493,0.0007173588601290248
1680,0.16976515172984027,0.0007149434823077172
1690,0.1731604547644371,0.0006675091790384613
1700,0.17662366385972583,0.0006571913691004738
1710,0.18015613713692033,0.0006347219896269962
1720,0.18375925987965874,0.0006098466365074273
1730,0.18743444507725193,0.0005919714421906974
1740,0.191183133978797,0.0005798441343358718
1750,0.19500679665837292,0.0005666364559147041
1760,0.19890693259154038,0.0005444785383588169
1770,0.20288507124337118,0.0005352625739760697
1780,0.20694277266823866,0.0005118203916936181
1790,0.21108162812160342,0.0005021985198254697
1800,0.21530326068403546,0.0004750838124891743
1810,0.2196093258977162,0.00046167062100721523
1820,0.2240015124156705,0.0004597873157763388
1830,0.22848154266398393,0.00044225241799722426
1840,0.2330511735172636,0.0004351603602117393
1850,0.23771219698760887,0.00041857601536321454
